Parameter,True_Beta,OLS_Mean,OLS_Bias,OLS_Var,OLS_MSE,OLS_L2,MM_Mean,MM_Bias,MM_Var,MM_MSE,MM_L2,LASSO_Mean,LASSO_Bias,LASSO_Var,LASSO_MSE,LASSO_L2,CorrectLASSO_Mean,CorrectLASSO_Bias,CorrectLASSO_Var,CorrectLASSO_MSE,CorrectLASSO_L2,CoCoLASSO_Mean,CoCoLASSO_Bias,CoCoLASSO_Var,CoCoLASSO_MSE,CoCoLASSO_L2
X25,0,-0.238777622,-0.238777622,0.617482933,0.674497686,86.91267828,-6.677699036,-6.677699036,36854.92978,36899.52145,3160.617074,-0.19885493,-0.19885493,0.150152962,0.189696246,73.88452637,0.017987019,0.017987019,0.219015434,0.219338967,65.88767793,-0.024668967,-0.024668967,0.087422,0.088030558,49.80421194
X26,0,-1.653119229,-1.653119229,0.586804986,3.31960817,86.91267828,-7.639177993,-7.639177993,22405.98924,22464.34628,3160.617074,-1.156692919,-1.156692919,0.378498165,1.716436675,73.88452637,0.043428629,0.043428629,0.264018088,0.265904134,65.88767793,-0.079757,-0.079757,0.120186733,0.126547912,49.80421194
X27,0,0.487795117,0.487795117,0.592667238,0.830611314,86.91267828,-11.75041293,-11.75041293,41590.48371,41728.55592,3160.617074,0.267344004,0.267344004,0.184695013,0.256167829,73.88452637,0.155549635,0.155549635,0.455603085,0.479798774,65.88767793,0.104491,0.104491,0.162634128,0.173552497,49.80421194
X28,0,0.349192259,0.349192259,0.671499464,0.793434698,86.91267828,-3.8471091,-3.8471091,55183.25624,55198.05648,3160.617074,0.090403754,0.090403754,0.113399255,0.121572093,73.88452637,0.152058236,0.152058236,1.309865026,1.332986733,65.88767793,0.099984784,0.099984784,0.184972253,0.19496921,49.80421194
X29,0,0.567151014,0.567151014,0.623476153,0.945136427,86.91267828,17.79042301,17.79042301,73696.38452,74012.88367,3160.617074,0.116811008,0.116811008,0.119327198,0.13297201,73.88452637,0.062076957,0.062076957,0.894208769,0.898062318,65.88767793,0.086662524,0.086662524,0.132624854,0.140135247,49.80421194
X30,0,-0.191569246,-0.191569246,0.575438851,0.612137627,86.91267828,4.345396551,4.345396551,77156.97228,77175.85475,3160.617074,-0.155974659,-0.155974659,0.12880996,0.153138054,73.88452637,0.097728196,0.097728196,1.186336107,1.195886907,65.88767793,-0.027055153,-0.027055153,0.103561647,0.104293629,49.80421194
X31,0,-1.636893201,-1.636893201,0.499678507,3.179097859,86.91267828,0.090283781,0.090283781,11795.75394,11795.76209,3160.617074,-1.218447002,-1.218447002,0.362374715,1.846987813,73.88452637,0.049606327,0.049606327,0.618475617,0.620936405,65.88767793,-0.096517792,-0.096517792,0.146830877,0.156146561,49.80421194
X32,0,-0.257480407,-0.257480407,0.588769896,0.655066056,86.91267828,-1.337739035,-1.337739035,20775.75024,20777.53979,3160.617074,-0.214133364,-0.214133364,0.149257591,0.195110688,73.88452637,0.029121347,0.029121347,0.362042963,0.362891016,65.88767793,0.001212796,0.001212796,0.080723934,0.080725405,49.80421194
X33,0,-0.311043268,-0.311043268,0.569357256,0.666105171,86.91267828,-3.865458518,-3.865458518,22724.01251,22738.95428,3160.617074,-0.191076196,-0.191076196,0.133648707,0.170158819,73.88452637,0.010055871,0.010055871,0.223568496,0.223669617,65.88767793,-0.021281615,-0.021281615,0.12480705,0.125259957,49.80421194
X34,0,-0.078772632,-0.078772632,0.692903512,0.69910864,86.91267828,10.25449157,10.25449157,58034.39174,58139.54634,3160.617074,-0.226224039,-0.226224039,0.154697181,0.205874497,73.88452637,0.173097983,0.173097983,1.613272686,1.643235597,65.88767793,0.057403922,0.057403922,0.166106016,0.169401226,49.80421194
X35,0,-0.128827661,-0.128827661,0.538430239,0.555026806,86.91267828,-15.79773563,-15.79773563,67674.74596,67924.31441,3160.617074,-0.094837227,-0.094837227,0.113726478,0.122720577,73.88452637,0.064882329,0.064882329,0.452497541,0.456707257,65.88767793,0.010726344,0.010726344,0.106204191,0.106319246,49.80421194
X36,0,0.197636863,0.197636863,0.559870472,0.598930802,86.91267828,4.996953199,4.996953199,41084.91946,41109.889,3160.617074,0.045503058,0.045503058,0.106609872,0.1086804,73.88452637,0.071062565,0.071062565,0.197816537,0.202866425,65.88767793,0.063047918,0.063047918,0.115447752,0.119422792,49.80421194
X37,0,0.304736889,0.304736889,0.58614548,0.679010051,86.91267828,-5.50316302,-5.50316302,63651.45098,63681.73578,3160.617074,0.120891694,0.120891694,0.126450114,0.141064916,73.88452637,0.077225825,0.077225825,0.333070457,0.339034285,65.88767793,0.015921975,0.015921975,0.091502091,0.0917556,49.80421194
X38,0,-0.121193437,-0.121193437,0.597800148,0.612487997,86.91267828,-0.697027406,-0.697027406,65574.50436,65574.99021,3160.617074,-0.02664509,-0.02664509,0.089769537,0.090479498,73.88452637,0.137707885,0.137707885,0.570190029,0.589153491,65.88767793,0.073338076,0.073338076,0.139429725,0.144808198,49.80421194
X39,0,-0.452310796,-0.452310796,0.607487804,0.812072861,86.91267828,-4.0266062,-4.0266062,21835.3948,21851.60836,3160.617074,-0.239839106,-0.239839106,0.168899702,0.226422499,73.88452637,0.097487617,0.097487617,0.456799542,0.466303378,65.88767793,0.032133569,0.032133569,0.109851713,0.11088428,49.80421194
X40,0,-0.877057552,-0.877057552,0.540777988,1.310007938,86.91267828,-3.288726329,-3.288726329,64874.07843,64884.89415,3160.617074,-0.544579989,-0.544579989,0.257679757,0.554247121,73.88452637,0.110657666,0.110657666,0.442396158,0.454641277,65.88767793,0.021351791,0.021351791,0.101149744,0.101605643,49.80421194
X41,0,-0.57051711,-0.57051711,0.535135764,0.860625536,86.91267828,-4.053621328,-4.053621328,61285.19292,61301.62477,3160.617074,-0.402044054,-0.402044054,0.211094121,0.372733543,73.88452637,0.035280174,0.035280174,0.347997366,0.349242057,65.88767793,-0.006780696,-0.006780696,0.095873378,0.095919356,49.80421194
X42,0,1.524089035,1.524089035,0.605879187,2.928726574,86.91267828,-4.788381505,-4.788381505,112703.0385,112725.9671,3160.617074,0.938007473,0.938007473,0.377158817,1.257016837,73.88452637,0.179210232,0.179210232,0.95925388,0.991370187,65.88767793,0.170975276,0.170975276,0.250049045,0.27928159,49.80421194
X43,0,-0.359987723,-0.359987723,0.591125042,0.720716202,86.91267828,1.796711739,1.796711739,17077.0758,17080.30398,3160.617074,-0.056346046,-0.056346046,0.108514099,0.111688976,73.88452637,0.182842797,0.182842797,0.61107512,0.644506609,65.88767793,0.088621572,0.088621572,0.134574052,0.142427835,49.80421194
