,37_bmi_sarP19,38_whr_sarP19,40_t2d_mahA18,7_sczeur_vasT22,8_mdd_howD19,Inflam_lymp_minC20,Inflam_neut_minC20,TRD_AgeSmkEur_greS22,TRD_CAD_ukbcard,TRD_CigDayEur_greS22,TRD_DrnkWkEur_greS22,TRD_EA_jamL18,TRD_HrtRate_zhaZ19,TRD_HtEur_loiY22,TRD_SmkCesEur_gre22,TRD_SmkInitEur_greS22,TRD_alb_ukbv3,TRD_alt_ukbv3,TRD_ast_ukbv3,TRD_bfr_ukbv3,TRD_bun_ukbv3,TRD_cardstrokeeur_aniM22,TRD_cr_ukbv3,TRD_crp_sarS22,TRD_dbp_ukbv3,TRD_fev_ukbv3,TRD_fg_ukbv3,TRD_fvc_ukbv3,TRD_ggt_ukbv3,TRD_hb_ukbv3,TRD_hba1c_ukbv3,TRD_hc_ukbv3,TRD_hct_ukbv3,TRD_hdl_ukbv3,TRD_iscstrokeeur_aniM22,TRD_ldl_ukbv3,TRD_lvesstrokeeur_aniM22,TRD_malb_ukbv3,TRD_plt_ukbv3,TRD_rbc_ukbv3,TRD_sbp_ukbv3,TRD_strokeeur_aniM22,TRD_svesstrokeeur_aniM22,TRD_tbil_ukbv3,TRD_tc_ukbv3,TRD_ua_ukbv3,TRD_wbc_ukbv3,TRD_wc_ukbv3,TRD_wt_ukbv3,TRD_tg_ukbv3
TRD_DrnkWkEur_greS22,-0.0032389824111549886,0.0010136322418164455,-0.002645081043986368,0.0033742483873027956,0.0022366831706145517,-0.0003609240854960958,-0.0023026543569623667,-0.0037238661527651553,-6.504025248295578e-05,0.0018651936052898482,0.032490422307014384,0.0015071428991668989,-0.0024860767676085148,0.002788378438927504,0.0034265266159438216,0.018237467901070996,0.002183291776772288,5.840796280786819e-05,0.002182307462043853,-0.0011418166611814797,-0.00456586491976865,-0.0005370157321786282,-0.0038551009883563848,-0.0018122144482612748,-0.00042712724261568434,-0.0001788452413913511,2.3587602389656677e-05,0.001903941120545299,0.00633964326701981,-0.003310340519340153,-0.0020872159101856143,-0.001984596967412807,-0.004273849162474225,0.010985135627514341,-3.4215129460953246e-05,-0.001368979599287667,0.001154529385696247,-2.9305502637826554e-05,-0.0009192310054688545,-0.010325151951927276,-0.001218703952149347,0.00015112915290944447,0.00014824544040223302,0.0003405089937700036,0.0020384199764524745,0.0019083270692118507,-0.000607733026786958,-0.0004994180735908927,-0.0009219982017559229,-0.0030224929529213927
TRD_EA_jamL18,-0.0265080525882758,-0.02150673216163775,-0.012369209057498469,0.0010625781008815824,-0.007113623979502013,-0.0029205447292320326,-0.006552213421700889,0.018243837187706554,-0.0095351572518187,-0.010643326418377846,0.0015071428991668989,0.06538196997509917,-0.007120460617089534,0.020223917294905552,-0.016339599824438607,-0.022984757968455498,0.0018997776687756998,-0.00959178762596439,-0.0033176058099337077,-0.02476091584408298,-0.004324231212467249,-0.001063835337915605,-0.002752477180273418,-0.01787816142529009,-0.010668170633538922,0.01434317229128006,-0.00406361704815091,0.014670673806183225,-0.014095403529969899,-0.006745001206970921,-0.010164254172682715,-0.013024813996341303,-0.006851026762772801,0.017704444283127552,-0.004843110346489092,2.6184213801170987e-05,-0.004002965890612889,-0.003064447313731611,-0.005508856658777186,-0.006495989818425804,-0.010275971243331562,-0.004954033986014072,-0.0038026131790715257,0.00640952221594812,0.002507342184722754,-0.010100002721871502,-0.01638014576273523,-0.020194312564813546,-0.014479534591763295,-0.01478672814619894
TRD_HrtRate_zhaZ19,0.012052298764516934,0.013627995661076562,0.010906031626505254,0.0008402123295372252,0.0027704649375981205,0.0025739487276829945,0.008211109904720548,-0.0028661066484138675,0.0018534137755314222,0.006674411568507111,-0.002486076767608515,-0.007120460617089534,0.0850259381355953,-0.009021520693413446,0.003375075517883984,0.0004926645988039476,0.0017740194923868476,0.005802587181107246,-0.0015409210878425733,0.013088792442341367,-0.001656170424498214,-0.0012742511167730083,-0.0037583588328958706,0.012549019441481202,0.01787056864528505,-0.006109319248287134,0.008572756303113166,-0.006902013274156562,0.00926426341295516,0.007307532753534741,0.004587695270038717,0.005668625264627839,0.006986202508002889,-0.00908390301433792,0.00013235826911378495,0.00239873372751324,0.00047001963388675115,0.0017354537603596822,0.00787256564591543,0.007358367900274039,0.004286932523966192,0.0002301003861247352,0.0009824374054032293,-0.005942731968698193,0.0018331612180187819,0.006651656338615007,0.00881495468219557,0.01083034386116787,0.007603492597293408,0.011926068548295265
TRD_HtEur_loiY22,-0.02130756961213982,-0.007190851771165493,-0.0026992539271112033,-0.0012506701338022613,-0.004542660514867972,-0.0052793583435798075,-0.002734341672306644,0.005313871120493836,-0.011452744222380922,-0.00221980003965508,0.002788378438927504,0.020223917294905556,-0.009021520693413448,0.36231125791147767,-0.008410450494993227,-0.002874101327730575,-0.006236572298229468,-0.011048737636034818,-0.007180689990044464,0.0007032055659675961,0.009179019860104753,0.0038457639512594535,0.01803152340921921,-0.012277420565203341,-0.01069139167280247,0.07186188323382013,-0.0032032114677307435,0.08538430808611755,-0.015680173250335477,-0.007689474051598557,-0.0036176773543941097,0.04799014456241329,-0.00631401731410803,-0.0007303871533977417,-0.001957265809422756,-0.009862146159736698,-0.0034822182410034525,-5.592092702002514e-05,-0.020141455773486427,-0.0058511379714362875,-0.015201120667625937,-0.0022265057774296334,-0.0037857780625421282,0.014858601695304443,-0.011142768627853048,0.0009045838942898825,-0.020884027797884147,0.025091174092574317,0.07628604143807252,-0.011915765615216383
TRD_SmkCesEur_gre22,0.012207979298416714,0.009357399600563322,0.005330096360274182,0.0033638697000638713,0.004821009644925657,0.0018626051230820958,0.0016004211450775657,-0.005422193471317491,0.0039043120677874576,0.00871146109691848,0.003426526615943821,-0.016339599824438607,0.003375075517883984,-0.008410450494993227,0.017946843346840095,0.013538016977629696,-0.0017140450718568768,0.003671963718329673,0.0019336372571584692,0.010367758761181144,-0.0007804653716093778,-2.3385930806883835e-06,3.794942199274362e-05,0.009521763068303893,0.003977605783803868,-0.0076290497468796395,0.0026880462274107373,-0.007264963320484257,0.00828637742938823,0.0017683445386095563,0.006979101815913794,0.007272275873389672,0.001976243527462717,-0.005311308155201362,0.0024843328489796263,0.0005052956934329789,0.0019486860133643249,0.0021827056259591123,0.0018815104941284995,0.0008735773556094254,0.00311796921551108,0.0027177505327494566,0.0013279994860601484,-0.004528537610238271,7.857327203326563e-05,0.00535469661384877,0.008606302148811987,0.01002511267988033,0.007865430948956628,0.00674526167676126
TRD_SmkInitEur_greS22,0.02076195480770781,0.016991602654579916,0.00781731218131411,0.008111650931337968,0.012647924865218199,0.0017609481467633476,-0.0007927742799298238,-0.019437636181378164,0.007985931932138104,0.009887545751944471,0.018237467901070996,-0.022984757968455498,0.0004926645988039476,-0.002874101327730575,0.013538016977629696,0.05995882300717452,-0.004415034846089843,0.004751380236470303,0.0016223169857358711,0.01600068724596662,-0.0005411041184516695,0.00014960813815534791,-0.002312152230611258,0.014204240860382312,0.002687939987806712,-0.007390359228542926,0.0019296984448659408,-0.004349921587033103,0.011672390586988796,-0.000718268606781789,0.008034615750927383,0.011772360252052314,-0.000901785912438173,-0.006470042007541179,0.004308503234382115,-0.0016883683479141055,0.004193359366678761,0.0021369728044177347,0.0013956554490797612,-0.004202569063249791,-6.189040213333376e-05,0.004397930773942335,0.003180349077660271,-0.007058640215658494,-0.0018176589419872068,0.00919971757124899,0.009812187394545539,0.016893832597579626,0.015138955252304777,0.007605284339920527
TRD_alb_ukbv3,-0.015091107619010653,-0.003958476532806383,-0.00016886705672656646,0.0007914233244239319,-0.0013913554674003796,-0.0009514799891097397,-0.0005182270115916974,0.002116726277706497,-1.535151262456258e-05,-0.003313411001780917,0.002183291776772288,0.0018997776687756998,0.0017740194923868474,-0.006236572298229468,-0.0017140450718568768,-0.004415034846089843,0.03398892763697807,0.004722951212663981,0.0038243211870369292,-0.010515445083101847,0.00014477917798876282,-0.00035937917554051843,-0.0042955202180169905,-0.008712055995997373,0.0014039456915371884,0.002109996152001762,0.002257066909102041,0.0017393398242075693,0.006479869322882202,-0.0007484854249669503,-0.0014117955999550346,-0.012334501576797876,-0.0025899739759447215,0.00380303098808259,-0.0021271032745302596,0.004187994223075974,5.812830040883175e-05,0.0002151682828081621,0.0026596824235073997,-0.0018993837291168354,0.0063606007735412026,-0.0021110097829455197,-0.0017316077645979071,0.005183907667201358,0.005447090531332939,0.0009841897151500233,-0.0036119408319247063,-0.010349557576422138,-0.012290016981007068,0.004584249595940864
TRD_alt_ukbv3,0.020666417652766635,0.021571044744436618,0.016949868813374448,-0.000986382561126386,0.0021895734314374463,0.005144429678249086,-0.0008754469643164028,-0.004160859544406122,0.008218979647220967,0.005092609183895557,5.840796280786819e-05,-0.009591787625964392,0.005802587181107247,-0.011048737636034818,0.0036719637183296734,0.004751380236470303,0.004722951212663981,0.03633213495750827,0.024847488879276697,0.015835227570317915,0.0024437202694378374,0.0005856238448236025,-0.0012058967838713811,0.011525740757320962,0.007037620761820453,-0.007274651956092318,0.005055148339340928,-0.008913690919919693,0.02640473599107866,0.00831388599885188,0.009828305936749472,0.009947895193189636,0.006727928708891478,-0.015302930339915304,0.002583040916083165,0.0027847006178772947,0.0018245664761592107,0.002696101316560593,0.0016218303873140395,0.007776508075145553,0.00811385573860453,0.0023267102935973145,0.0009928450435058192,-0.0011356300422130762,0.00025503462338121076,0.012291827088478759,0.005827354250107342,0.017251897028384665,0.012605917898291585,0.014761080176726567
TRD_ast_ukbv3,0.0059497213466673535,0.0070563153488098895,0.005282894785896063,0.0014107782388644234,0.0005576550618749943,0.0006450712932227976,-0.003592855916094339,-0.00032579879757578463,0.0037326343730953535,0.000923551202999513,0.002182307462043853,-0.0033176058099337077,-0.0015409210878425733,-0.007180689990044463,0.0019336372571584692,0.0016223169857358711,0.0038243211870369292,0.024847488879276697,0.03888121043483196,0.002308741458027668,0.0010731367607373437,0.0008857814037227154,0.001149732280828672,0.004540138645514378,0.002340244517867422,-0.002001952737360069,-0.0007769673874469993,-0.0029916454718376725,0.016713756608730937,0.0018357995039983757,0.0035049982933162095,0.0008512830144913208,0.000599713904034857,-0.001679749275274221,0.0013978987792706513,0.003927353841891779,0.001490710088048512,0.0015250622756057626,-0.0017046472825853341,0.0005974959327959529,0.004136611507425928,0.0014312021835294435,-0.00043872384205065844,0.00168697390738575,0.0040044278517710145,0.005749715746167884,-0.0006333772292864912,0.003716040496522406,0.001759581931190401,0.0054730006603726745
TRD_bfr_ukbv3,0.07390618732875756,0.04381182789944338,0.02650933220274626,-0.004111840230728249,0.006137726901635832,0.0036461795589002787,0.004723894283834922,-0.010416952739913703,0.011216030573064053,0.014385515835659191,-0.0011418166611814797,-0.02476091584408298,0.013088792442341365,0.0007032055659675962,0.010367758761181145,0.01600068724596662,-0.010515445083101847,0.015835227570317918,0.0023087414580276674,0.06739966574641815,0.004930956034488292,0.0011390416033282853,-0.00023901401203135257,0.03575929523694109,0.015511172209063348,-0.014263283756892332,0.009319949777978502,-0.01692707022798399,0.01811580685731856,0.00525347982854172,0.01610940229419746,0.0538387903307543,0.005897773723363976,-0.02707904633196913,0.005373646296529789,-0.002804735222709021,0.003039689492268131,0.005025831592915293,0.003844448795440311,0.00887366514024094,0.010690330748530352,0.005428956683750585,0.0028551457176222337,-0.010294379560737152,-0.007208955236043516,0.02140609793446389,0.017121857738900882,0.05730494427847725,0.05478509709268392,0.01959868783214864
TRD_bun_ukbv3,0.005541344255612173,0.001498736247165866,0.0034187936778968704,-0.0029390574543129515,-0.00016539391723439584,0.0014318369096503445,0.0018059196912218333,-0.0011343189049403191,0.0012520655344557133,-0.0007218172067570346,-0.00456586491976865,-0.004324231212467249,-0.0016561704244982137,0.009179019860104753,-0.0007804653716093778,-0.0005411041184516695,0.00014477917798876285,0.0024437202694378374,0.0010731367607373437,0.004930956034488293,0.033353225460481514,0.0011689635634440317,0.015149578864380097,0.004420775776539989,0.0016311775712239275,0.001436992674051717,0.00011683829395375285,0.0009820646914985604,0.0015844061781560496,-0.0006599318519059773,0.004610913423451709,0.005243878322926337,-0.0006650257813651518,-0.004920553366952339,0.0012811515865548454,-0.00035844790555023383,0.0004205437308748976,-9.01366286939527e-05,-0.0004980515540069377,0.0014521043127681836,0.002019499416256512,0.001245998186350507,0.0009106384139307911,-0.0004179814753566767,-0.0013791038161136567,0.010925091154367962,0.0019221370057793073,0.004389942227803652,0.006427427670968482,0.0034477756384652756
TRD_cardstrokeeur_aniM22,0.0018518894877838637,0.000980099471109497,0.0014879184644708383,-0.00016538776227444292,0.00018305446138038378,0.0011208304245732112,0.0001708671294631896,-0.0004147495009600159,0.0019752724875936357,0.0003449760456651551,-0.0005370157321786282,-0.001063835337915605,-0.0012742511167730083,0.0038457639512594535,-2.3385930806883835e-06,0.0001496081381553479,-0.0003593791755405184,0.0005856238448236024,0.0008857814037227154,0.0011390416033282853,0.0011689635634440317,0.003385935956256753,0.0005975283427339261,-0.00013327811153065992,0.001900935885197646,0.0005102161739874916,0.0014070036681521232,0.000301728462572542,0.00022375827290508485,0.00022387169829180188,0.0018161462019775402,0.0015474173938231852,0.0001625286892359721,-0.0014121524270913966,0.004328820691440953,-0.0013565923264410743,0.0008474532185624328,0.0010980855985922879,6.823594416336204e-05,-0.00014387806665181122,0.00243039908396564,0.0040331127720908,0.0008662762019356875,-0.0004703454536506085,-0.0016989710162007628,0.0011185446515457828,0.0005885668324539915,0.0014713378700311089,0.002233920024568996,-1.0678238053682459e-05
TRD_cr_ukbv3,0.005467519278427633,-0.0024072741120444714,-0.0020135961484419457,-0.0032020785194294306,-0.001072683683422865,-0.002143707824257968,0.0022158215292206566,-0.00024199580124829168,0.0003865832948081322,-0.0012709561784256355,-0.0038551009883563843,-0.002752477180273418,-0.0037583588328958706,0.01803152340921921,3.7949421992743624e-05,-0.0023121522306112584,-0.0042955202180169905,-0.0012058967838713811,0.001149732280828672,-0.0002390140120313526,0.015149578864380099,0.0005975283427339261,0.055726243334539384,0.00038132962088778847,0.0012813223739705083,0.007658548370389995,-0.0011978954663473217,0.008069804839522157,-0.0032546410149428004,0.0035024065420364288,-3.8345735858706806e-05,0.006482696994059891,0.003526338313705338,-0.005436619812749681,0.0016345737408023395,-0.0019338839454173355,0.0008647275769921898,-0.0022013489438275063,-0.003598711828028259,0.002746794523575112,-0.00040771739885586363,0.001575637509131125,0.0005055358625114659,0.004069243381479266,-0.0028772815002028043,0.010425784253188353,0.0008389342531160645,0.003246721825862624,0.009069273508116503,0.0026912653140163606
TRD_crp_sarS22,0.042177732551099155,0.02891311885618819,0.01792001144388477,-0.00279778000104857,0.0041026180297863285,0.007037461681003291,0.012537729580818046,-0.008010810903170103,0.008636048096836288,0.009791764441324399,-0.0018122144482612748,-0.01787816142529009,0.0125490194414812,-0.01227742056520334,0.009521763068303891,0.014204240860382312,-0.008712055995997373,0.011525740757320962,0.004540138645514378,0.03575929523694109,0.0044207757765399895,-0.00013327811153065992,0.00038132962088778847,0.058128847298174864,0.012222229582145042,-0.015471346036579944,0.0034074204942424035,-0.017265226011306044,0.02218302341933741,0.001839803977140656,0.01323171546892486,0.027444695252585714,0.002708648058776917,-0.02131474802842844,0.00482127543494908,0.003341266926411579,0.00282034223711084,0.003991228002306518,0.006410705864407555,0.006610183448327098,0.009074776065435197,0.004918900422115791,0.0037061919310096467,-0.009021539306975123,0.00013257081761585996,0.01752701750580661,0.01991576990600806,0.032359327701897526,0.028357859970320216,0.018610205375639732
