,Inflam_lympasia_minC20,Inflam_neutasia_minC20,TRD_AgeSmkEas_greS22,TRD_CigDayEas_greS22,TRD_DrnkWkEas_greS22,TRD_EA_twb,TRD_SmkCesEas_gre22,TRD_SmkInitEas_greS22,TRD_alb_twbbbj,TRD_alt_twbbbj,TRD_ast_twbbbj,TRD_bfr_twb,TRD_bmi_twbbbj,TRD_bun_twbbbj,TRD_cadasn_satK20,TRD_cardstrokeeas_aniM22,TRD_cr_twbbbj,TRD_crpasn_saoS21,TRD_dbp_twbbbj,TRD_fev_twb,TRD_fg_twbbbj,TRD_fvc_twb,TRD_ggt_twbbbj,TRD_hb_twbbbj,TRD_hba1c_twbbbj,TRD_hc_twb,TRD_hct_twbbbj,TRD_hdl_twbbbj,TRD_hr_twb,TRD_ht_twbasn,TRD_iscstrokeeas_aniM22,TRD_ldl_twbbbj,TRD_lvesstrokeeas_aniM22,TRD_malb_twb,TRD_mddasi_olgG21,TRD_plt_twbbbj,TRD_rbc_twbbbj,TRD_sbp_twbbbj,TRD_sczasn_maxL19,TRD_strokeeas_aniM22,TRD_svesstrokeeas_aniM22,TRD_t2d_twbasn,TRD_tbil_twbbbj,TRD_tc_twbbbj,TRD_ua_twbbbj,TRD_wbc_twbbbj,TRD_wc_twb,TRD_whr_twb,TRD_wt_twbbbj,TRD_tg_twbbbj
TRD_ldl_twbbbj,0.1462,-0.0273,0.023,0.0987,-0.1665,0.0147,0.0142,-0.0709,0.11,0.1081,0.0591,0.0818,0.0395,0.0112,0.2223,-0.159,0.0048,0.1261,-0.058,-0.0214,-0.0193,-0.0812,0.0687,0.0217,0.1567,0.006,0.0352,0.1197,0.0526,-0.1075,-0.0544,1.0,0.1569,0.0306,0.0306,0.1882,0.0704,-0.0717,0.0267,0.0274,0.0099,0.0559,-0.0286,0.9143,-0.0193,-0.0127,0.0436,0.0717,-0.0324,0.1859
TRD_lvesstrokeeas_aniM22,0.1338,-0.214,0.5341,0.045,0.2363,0.1021,0.0715,0.0744,-0.243,0.0932,0.0888,0.3491,0.2354,0.1142,0.3282,0.8899,0.1037,0.4927,0.3457,0.0097,0.2456,0.0679,0.3023,-0.2575,0.2028,0.2463,-0.1822,-0.0792,0.0051,0.1075,1.2523,0.1569,1.0,0.1087,0.0058,0.0178,-0.1142,0.5137,0.0378,1.1104,1.2457,0.2156,0.0344,0.1837,0.2866,-0.0355,0.4334,0.4719,0.2824,0.2806
TRD_malb_twb,0.2021,0.1989,0.0714,0.0941,-0.0241,-0.0822,0.0616,0.0597,0.1325,0.1179,-0.0015,0.226,0.2295,0.0489,0.1182,0.0371,-0.206,0.2946,0.347,0.0332,0.1925,-0.0399,0.1312,0.0233,0.1335,0.1662,0.0054,-0.1522,0.2032,0.0256,0.1684,0.0306,0.1087,1.0,0.1556,0.1057,0.0372,0.3618,-0.0096,0.2577,0.0733,0.262,-0.0313,-0.0316,-0.0425,0.1876,0.2528,0.2265,0.1996,0.1997
TRD_mddasi_olgG21,-0.0418,-0.1118,0.1018,-0.0431,-0.1147,0.1798,-0.3417,-0.1316,0.0837,0.0035,0.1268,-0.2801,-0.2428,-0.1513,-0.0218,-0.0572,-0.1024,-0.0932,-0.0527,0.0546,-0.1539,-0.0419,-0.0078,-0.0351,-0.1838,-0.1042,-0.0945,0.2492,0.1783,0.0295,0.1056,0.0306,0.0058,0.1556,1.0,-0.0289,-0.1251,-0.1435,0.4892,0.1415,-0.0628,-0.1653,0.19,0.0705,-0.143,-0.0888,-0.1873,-0.1908,-0.1784,-0.2014
TRD_plt_twbbbj,0.2031,0.3182,0.0096,0.06,-0.1685,-0.0111,0.0093,0.0444,0.0215,-0.0432,-0.1131,0.0841,0.0076,-0.0587,0.0454,0.0856,-0.0726,0.1066,0.0033,-0.0779,-0.0169,-0.1057,0.0336,-0.0944,0.1219,-0.0083,-0.0514,-0.0394,0.1032,-0.1081,0.0138,0.1882,0.0178,0.1057,-0.0289,1.0,-0.0115,0.0382,-0.0038,0.0617,-0.0376,0.008,-0.1986,0.1353,-0.0258,0.3026,0.0381,0.0799,-0.0567,0.1285
TRD_rbc_twbbbj,0.0373,0.1878,0.059,0.0184,-0.1599,-0.0474,0.0263,-0.0582,0.0151,0.1136,-0.0003,0.1233,0.0702,-0.0068,0.1003,-0.2411,0.019,0.0277,0.092,-0.0371,0.0352,-0.0565,0.0245,0.7012,0.1043,0.0684,0.7642,-0.1495,0.1423,-0.0103,0.0006,0.0704,-0.1142,0.0372,-0.1251,-0.0115,1.0,0.0332,0.0128,0.016,0.0459,0.1039,0.0313,-0.0098,-0.0179,0.1543,0.1088,0.1109,0.0607,0.1213
TRD_sbp_twbbbj,0.1586,0.1827,-0.0378,-0.0518,0.0879,-0.1444,0.039,0.1297,0.095,0.189,0.0766,0.3199,0.2892,0.0723,0.3477,0.2016,0.065,0.2867,0.8469,-0.0246,0.227,-0.0336,0.1754,-0.0193,0.0883,0.2241,-0.0273,-0.1617,-0.012,0.0009,0.4409,-0.0717,0.5137,0.3618,-0.1435,0.0382,0.0332,1.0,-0.0891,0.5424,0.3779,0.2344,-0.1144,-0.0948,0.237,0.1602,0.3126,0.2626,0.2352,0.1992
TRD_sczasn_maxL19,-0.0273,-0.0326,0.1563,0.1013,0.0094,0.1984,-0.1232,-0.0959,-0.0155,-0.0488,-0.0441,-0.1347,-0.0941,-0.0403,-0.0557,-0.3844,-0.0536,-0.0546,-0.0671,-0.0832,-0.1059,-0.0492,-0.0337,0.049,-0.0719,-0.1079,0.0399,0.1398,-0.0157,-0.025,0.035,0.0267,0.0378,-0.0096,0.4892,-0.0038,0.0128,-0.0891,1.0,-0.001,0.0763,-0.0615,0.0366,0.0663,-0.0482,-0.0397,-0.087,-0.0187,-0.0797,-0.0501
TRD_strokeeas_aniM22,0.1142,0.1096,-0.0616,-0.0126,0.216,-0.07,0.143,0.1276,0.041,0.0647,-0.0366,0.311,0.2504,0.0398,0.2003,0.6294,0.0636,0.1953,0.4967,-0.0024,0.2263,0.0331,0.1621,-0.0187,0.0882,0.2073,-0.0189,-0.0698,0.0523,-0.0309,1.0242,0.0274,1.1104,0.2577,0.1415,0.0617,0.016,0.5424,-0.001,1.0,0.8674,0.2368,-0.0065,-0.0112,0.1593,0.1093,0.2582,0.2097,0.1914,0.1346
TRD_svesstrokeeas_aniM22,0.0355,0.1183,0.1952,-0.031,0.0818,-0.0648,-0.0734,0.0686,0.1396,0.1801,0.1528,0.1637,0.1727,-0.1829,0.1234,0.1147,0.0465,-0.0056,0.3632,0.1469,0.1601,0.0828,0.1919,0.126,-0.038,0.1169,0.0921,-0.0362,0.0283,-0.0451,0.8298,0.0099,1.2457,0.0733,-0.0628,-0.0376,0.0459,0.3779,0.0763,0.8674,1.0,0.2187,0.018,0.0871,0.1428,0.026,0.1538,0.1461,0.1179,0.1793
TRD_t2d_twbasn,0.2268,0.1213,0.0026,0.0895,-0.0166,-0.1293,0.1445,0.1314,0.0775,0.2995,0.0706,0.475,0.3295,0.1066,0.213,-0.1177,0.0249,0.298,0.1535,0.0461,0.7219,-0.006,0.2116,0.0753,0.7542,0.2907,0.0548,-0.3266,0.1089,0.0187,0.1815,0.0559,0.2156,0.262,-0.1653,0.008,0.1039,0.2344,-0.0615,0.2368,0.2187,1.0,-0.122,-0.0057,0.1726,0.1692,0.481,0.5032,0.2869,0.2919
TRD_tbil_twbbbj,-0.2316,-0.1378,0.1678,-0.1507,0.0175,0.1095,-0.2454,-0.2168,0.1261,0.0165,0.041,-0.1883,-0.1421,-0.0234,-0.1628,0.0271,-0.0658,-0.2095,-0.0132,0.0299,-0.0236,0.0955,-0.0149,0.1572,-0.2032,-0.0713,0.1047,0.1572,-0.0318,0.0992,0.0439,-0.0286,0.0344,-0.0313,0.19,-0.1986,0.0313,-0.1144,0.0366,-0.0065,0.018,-0.122,1.0,-0.0122,-0.1203,-0.1634,-0.1187,-0.1187,-0.0615,-0.138
TRD_tc_twbbbj,0.0897,-0.0755,0.0521,0.0237,-0.0703,0.0502,-0.0519,-0.0688,0.1324,0.0788,0.1062,-0.0409,-0.0778,0.0311,0.1008,-0.1097,0.0187,0.0249,-0.0912,-0.0015,-0.0462,-0.0285,0.1066,-0.0671,0.1028,-0.0712,-0.0272,0.3307,0.0283,-0.0772,-0.0677,0.9143,0.1837,-0.0316,0.0705,0.1353,-0.0098,-0.0948,0.0663,-0.0112,0.0871,-0.0057,-0.0122,1.0,-0.0276,-0.0595,-0.0539,-0.0047,-0.1064,0.212
TRD_ua_twbbbj,0.1422,0.1388,-0.0649,0.042,0.193,-0.0775,0.2217,0.1053,0.0886,0.1358,0.1427,0.2554,0.2312,0.0926,0.1359,0.116,0.2704,0.3543,0.2331,0.053,0.1361,0.0199,0.264,-0.0548,0.1267,0.181,-0.0785,-0.2686,-0.0065,0.0123,0.1477,-0.0193,0.2866,-0.0425,-0.143,-0.0258,-0.0179,0.237,-0.0482,0.1593,0.1428,0.1726,-0.1203,-0.0276,1.0,0.1351,0.2505,0.2343,0.2019,0.3158
TRD_wbc_twbbbj,0.6305,0.9533,-0.0212,0.1456,-0.0399,-0.1088,0.3227,0.1173,-0.001,0.115,-0.0154,0.2631,0.1799,0.0176,0.0519,0.0371,0.0523,0.3744,0.1065,-0.0934,0.1004,-0.1201,0.1097,0.1531,0.1575,0.1198,0.1736,-0.2299,0.0784,-0.1168,0.0669,-0.0127,-0.0355,0.1876,-0.0888,0.3026,0.1543,0.1602,-0.0397,0.1093,0.026,0.1692,-0.1634,-0.0595,0.1351,1.0,0.1941,0.2004,0.0856,0.213
TRD_wc_twb,0.1685,0.1679,0.0971,0.1196,0.0206,-0.231,0.2376,0.2366,-0.1574,0.2641,0.0427,0.8947,0.8348,0.0407,0.1499,-0.1549,0.0201,0.3801,0.2744,0.173,0.2639,0.2,0.189,0.0236,0.2884,0.8554,0.0267,-0.3482,0.0393,0.2348,0.1706,0.0436,0.4334,0.2528,-0.1873,0.0381,0.1088,0.3126,-0.087,0.2582,0.1538,0.481,-0.1187,-0.0539,0.2505,0.1941,1.0,0.7363,0.839,0.2479
TRD_whr_twb,0.1521,0.1872,0.0671,0.0897,-0.0131,-0.2161,0.147,0.1401,0.027,0.3409,0.1159,0.618,0.5034,0.0471,0.1636,-0.2573,-0.0313,0.298,0.1829,-0.0247,0.3046,-0.0336,0.2808,0.0565,0.3358,0.2795,0.0381,-0.3722,0.1655,-0.0503,0.1261,0.0717,0.4719,0.2265,-0.1908,0.0799,0.1109,0.2626,-0.0187,0.2097,0.1461,0.5032,-0.1187,-0.0047,0.2343,0.2004,0.7363,1.0,0.3993,0.3304
TRD_wt_twbbbj,0.1238,0.0447,0.0433,0.1437,0.0763,-0.1482,0.1805,0.1918,-0.1849,0.1383,-0.0058,0.721,0.8154,0.0389,0.0855,0.01,0.1376,0.3537,0.2602,0.3717,0.169,0.3891,0.0837,-8.6892e-05,0.1371,0.8888,0.0092,-0.2561,-0.0734,0.5243,0.1781,-0.0324,0.2824,0.1996,-0.1784,-0.0567,0.0607,0.2352,-0.0797,0.1914,0.1179,0.2869,-0.0615,-0.1064,0.2019,0.0856,0.839,0.3993,1.0,0.1478
TRD_tg_twbbbj,0.2666,0.2184,-0.0679,0.1756,-0.037,-0.1541,0.3242,0.1388,0.2064,0.1429,0.0208,0.2823,0.212,0.0461,0.2017,-0.0016,0.1216,0.4524,0.1521,-0.026,0.1996,-0.0248,0.2923,0.019,0.2458,0.0963,0.0116,-0.6312,0.1441,-0.0538,0.093,0.1859,0.2806,0.1997,-0.2014,0.1285,0.1213,0.1992,-0.0501,0.1346,0.1793,0.2919,-0.138,0.212,0.3158,0.213,0.2479,0.3304,0.1478,1.0
