,TRD_mddasi_olgG21,TRD_sczasn_maxL19,TRD_cadasn_satK20,TRD_t2d_twbasn,TRD_crpasn_saoS21,TRD_DrnkWkEas_greS22,TRD_AgeSmkEas_greS22,TRD_CigDayEas_greS22,TRD_SmkInitEas_greS22,TRD_SmkCesEas_gre22,TRD_EA_twb,Inflam_neutasia_minC20,Inflam_lympasia_minC20,TRD_strokeeas_aniM22,TRD_cardstrokeeas_aniM22,TRD_iscstrokeeas_aniM22,TRD_svesstrokeeas_aniM22,TRD_lvesstrokeeas_aniM22,TRD_ht_twbasn,TRD_wt_twbbbj,TRD_bmi_twbbbj,TRD_bfr_twb,TRD_wc_twb,TRD_hc_twb,TRD_whr_twb,TRD_dbp_twbbbj,TRD_sbp_twbbbj,TRD_hr_twb,TRD_wbc_twbbbj,TRD_rbc_twbbbj,TRD_hb_twbbbj,TRD_hct_twbbbj,TRD_plt_twbbbj,TRD_bun_twbbbj,TRD_cr_twbbbj,TRD_malb_twb,TRD_ua_twbbbj,TRD_tbil_twbbbj,TRD_alt_twbbbj,TRD_ast_twbbbj,TRD_ggt_twbbbj,TRD_alb_twbbbj,TRD_fev_twb,TRD_fvc_twb,TRD_fg_twbbbj,TRD_hba1c_twbbbj,TRD_tc_twbbbj,TRD_hdl_twbbbj,TRD_ldl_twbbbj,TRD_tg_twbbbj
TRD_EA_twb,-0.11371736715780977,0.10215978018098103,-0.037461380510937406,-0.05298971905501739,-0.04428492272376716,0.11566734430586328,0.15268110302059887,-0.06723508900505393,-0.26871558909931903,-0.16673851231108588,0.9901356747533809,-0.03881177666041194,-0.01813934680735362,-0.09951519121863588,-0.1166964067263309,-0.07461469844519233,0.026386069878740936,-0.14802093694583077,0.13975661936693104,-0.06651530156688108,-0.18890331525395374,-0.26869585371495414,-0.19403365150621207,-0.12881849535829853,-0.15137061765867388,-0.0491479419640087,-0.08545483646153373,-0.018377450780213044,-0.05765390838842892,-0.03234303745299156,-0.03910223395776858,-0.0547725227861662,0.09406314077566832,-0.09134650520184165,0.08039979554129711,-0.08906349081738686,0.02144821305344413,0.08646337351369719,-0.11304891531671016,-0.07636867982807524,-0.014900389800085848,0.0813610879733075,0.14212045240617424,0.12918324941488757,-0.020008544254298096,0.008090574167115998,0.08589543819721308,0.1790646345102597,0.027762646901054802,-0.009996736341577536
Inflam_neutasia_minC20,-0.05473733534217556,-0.0003664698080523418,0.02318421035630193,-0.009243994279720572,0.12912251143278042,-0.03233985264830157,-0.11908581801661523,0.09209752383092792,0.09316599187932861,0.09656301587388125,-0.03881177666041194,0.9914368737761234,0.22759400513213096,-0.05143529555179089,-0.042437308020151866,-0.0346042410913152,-0.06726429496153906,0.053991305947832476,-0.00474788506436386,-0.06679345021822222,-0.07307945112611347,-0.06895890997767799,-0.012328860733751296,-0.08289938837511615,0.13699547788308145,0.03282420728020825,0.014472529964954435,0.06335822270198525,0.7663408908294634,0.096199311408052,0.042291107097659986,0.0609752964507239,0.16684813691692132,0.07453239996141238,-0.0132344678805863,0.024893211022204886,0.017619525654907733,-0.08049404423572114,-0.11078407311160396,-0.06518763217513138,-0.052537252973444824,-0.03332206157001273,0.002526345268475046,-0.018149030463105273,-0.05106242344963786,-0.02767229135569359,0.0051219744277420706,-0.023204855754769486,0.018393295484839534,0.05662383898833728
Inflam_lympasia_minC20,-0.059369307323100445,0.046175214542640446,0.017951419316510935,-0.021063357726076162,0.05641420886472297,0.02015276454598017,-0.06684283172473687,0.043680779480017744,0.09442007667332475,0.0453459459825695,-0.01813934680735362,0.22759400513213096,0.9926248276457404,0.0830023181013744,0.021456932712213363,0.09101264448980313,0.03728187463772901,0.06778239210802925,0.0596089405568068,0.02773006231360956,-0.0007333657387843819,-0.004702740648044117,0.003010118210219544,-0.005590485650869215,0.05886117543472715,0.0968804135521156,0.060086694970457044,-0.012131172306625164,0.4433970471038862,-0.0031368405358617605,0.01513090846066779,0.058465159066720215,0.27549028449061685,0.003120238972362256,0.006058399789504724,0.07105072285496723,0.05363126395375053,-0.010585058174370911,0.03623462892958714,-0.021844868820338963,0.04170764307147213,-0.060989984162051133,0.01082935686409368,0.02810003232289898,-0.022671207961149784,0.058124120771447345,0.09995120451386111,0.11535906424004858,0.07459572296849382,0.05044035037275815
TRD_strokeeas_aniM22,-0.012566254322910262,-0.020740479294036177,0.07790780544856295,0.055425500349499966,0.004016044719111976,0.13364991686106975,-0.06068904922435349,0.039727629637227195,0.09302521270823567,-0.04110706099122909,-0.09951519121863588,-0.05143529555179089,0.0830023181013744,0.9961063700776324,0.3822968486720542,0.8331595296798086,0.37079125631657267,0.25382704241813525,-0.0022791399407663887,0.1451592651337951,0.14747963086680826,0.10582711165726688,0.10573716093060559,0.09330160625310654,0.05334135314874259,0.19692327964048098,0.20408726852656922,0.015225252791971513,0.02570873722052766,0.052901437607640524,0.039792711032130446,0.04674124690427038,0.0956047318085689,-0.11587334585641014,-0.040235184117587114,0.13099780282028067,0.027698694400093045,-0.034349014730675684,0.10330910951990833,0.023120049496146267,0.07115422753051377,-0.07117692487265709,-0.01715626973498996,-0.07008927239553958,0.05000805324910652,-0.018908347248561493,0.030003947914354658,0.004800018022717909,-0.008644046454688968,0.0627975537352115
TRD_cardstrokeeas_aniM22,-0.0451849468450068,-0.027593406342961483,0.07350352011991845,-0.0475569464457847,0.022870266824712222,-0.009888501941709298,-0.08108801002234085,0.040498403399065463,-0.01598458538129944,-0.07375757817759211,-0.1166964067263309,-0.042437308020151866,0.021456932712213363,0.3822968486720542,0.9995718947801085,0.4238347257378305,0.11466000266257248,0.0398913729883287,-0.039019209217280006,0.00882363072054057,0.04388871856585834,-0.012117938180780712,-0.012351955855492928,-0.05180133556270171,-0.016294522730146376,-0.005006117441299192,-0.022072104100624317,0.011756140507590484,-0.002344846283234301,0.07978539931118385,0.06384446028868265,0.07499293723622066,0.05163447573722578,-0.026164727892441977,-0.035480002916465275,0.04607438969237587,0.01374333412207405,-0.022431204425015276,-0.0052784362300491786,0.05054366313614928,-0.043107697824445845,-0.1256522643903539,-0.042044811752586876,-0.06134774366641138,0.013420160919395168,0.008478810265959072,0.014378003917434523,-0.03870116548837308,0.049843896627717606,-0.023229345095958174
TRD_iscstrokeeas_aniM22,-0.04699094735690294,-0.01265842905012601,0.07089518409043404,0.03894435285814032,-0.015381320147824335,0.1262325653876689,-0.07757102968031976,0.050383262900039326,0.13034744709920654,-0.029536861950948633,-0.07461469844519233,-0.0346042410913152,0.09101264448980313,0.8331595296798086,0.4238347257378305,0.9963169983672512,0.39460351635581736,0.302601504750206,0.0500034105517767,0.1582696196764556,0.14323216068145955,0.09619729489280805,0.09708440004155497,0.09734930618904472,0.022620207396419432,0.1643577953669632,0.14950583180787505,-0.005591557262068882,0.031480170434052566,0.06814002689921043,0.03292370611080879,0.06894977944316587,0.027711969057046867,-0.09056522148417466,0.012309541441954015,0.13172226302611967,-0.024230460898119095,-0.046473503843185465,0.06240806470349822,-0.04268950278208026,0.03641086280402853,-0.08870787158772869,0.028271725967304605,-0.015037691172026765,0.09574552575860454,0.0038593955337552425,-0.007825429850619306,-0.0035420000135446277,-0.04058462107030962,0.03926604360462464
TRD_svesstrokeeas_aniM22,-0.05907405510532849,0.04153088203710779,0.07267862686707216,-0.010499504710812513,0.005018696978661568,0.05317462467695075,-0.13502711003191353,-0.0717672916387562,0.06576677497144222,-0.10083143771428271,0.026386069878740936,-0.06726429496153906,0.03728187463772901,0.37079125631657267,0.11466000266257248,0.39460351635581736,0.998723532139176,0.1621357987901714,0.003060476235210848,0.06907290060948003,0.05751478463735799,-0.0011966618309732693,-0.012830449234645616,0.010099696449376338,-0.013733058315016023,0.10966432534254382,0.13605354203002112,-0.04559171222250016,-0.0509938037215102,-0.0434597760191196,0.004393213137893016,-0.006637128186374269,0.06914335066464056,-0.06377581014612439,0.06833808259926868,0.03916500433302557,0.015040877468771785,-0.013674342146072604,0.0115118787347982,-0.05656077611812667,0.027410379671111047,-0.09832352765187412,-0.04274816594858915,-0.030526711418768466,0.024527292696972576,0.0263284830744202,0.0774745924290939,-0.014808756031479067,0.06892756681786269,0.10179378472121778
TRD_lvesstrokeeas_aniM22,-0.03739254332967888,-0.09294836335936353,0.10312370795453649,-0.028149877713209773,0.0843881172140724,0.03349916505998004,-0.09312483986294673,0.01745465169403209,0.04047962171560451,0.032433514412814494,-0.14802093694583077,0.053991305947832476,0.06778239210802925,0.25382704241813525,0.039891372988328705,0.302601504750206,0.1621357987901714,0.9991160955404172,-0.0074549085818277246,-0.027268686736233828,-0.01080144513336588,-0.07644124045855993,-0.07528478380408606,-0.0759642817885137,0.003652066060012562,0.0664238427753475,0.1258421832605867,-0.03778810345747698,0.10502936792128159,0.019273666701120875,0.004421862730165761,0.0072772775429987046,0.09028372500460013,-0.03792819741085177,0.04608939176929418,0.07131395235868954,-0.031267978712951526,-0.04241304942706525,-0.0031615084592858367,-0.08482435286200803,-0.02716308940143573,0.014405178253424184,-0.005216056908742273,-0.015085207586986704,-0.01868196374752947,0.01436531797811902,0.01919658323145517,-0.02172461277168501,0.056611288238853086,0.06915580215296543
TRD_ht_twbasn,-0.031173617602217343,0.01983962383171538,-0.10735393444190425,-0.026763813827879478,-0.03438042202852755,-0.0005555721664872,0.028157451855685953,0.039702758971130105,0.026420628432263407,-0.07345948116342323,0.13975661936693104,-0.00474788506436386,0.0596089405568068,-0.0022791399407663887,-0.039019209217280006,0.0500034105517767,0.003060476235210848,-0.0074549085818277246,0.883422914868776,0.37105524337099355,-0.05369406398771163,-0.012336119756225249,0.12185337649477913,0.25394476777760516,-0.06095341346764367,0.010554413538157469,-0.05265444726247058,0.027052184299319434,-0.028319190369305157,0.017982589732412606,0.006112930003141184,0.005563014539384761,0.001362361971397043,-0.06590933421463956,0.03293927915359497,-0.0214943707884391,-0.031050326819413877,0.0692683759135046,-0.013140299976726992,-0.025445982206473452,-0.045744572481765215,-0.030795146156526197,0.4363847069686849,0.5045589089486023,-4.8851407654261405e-05,-0.07941879075029697,-0.0805150635196858,-0.034482638921557916,-0.08576949543413505,-0.027242882852316918
TRD_wt_twbbbj,-0.04048986593233414,-0.03452148196399277,-0.09316776172118801,0.08318828053403804,0.0332402129285365,0.038045730306808384,-0.039022333804306676,0.0569856791187075,0.07706740565424808,0.009517476412387026,-0.06651530156688108,-0.06679345021822222,0.02773006231360956,0.1451592651337951,0.00882363072054057,0.1582696196764556,0.06907290060948003,-0.027268686736233828,0.37105524337099355,0.9447032637629006,0.6970833414014206,0.6258689914289021,0.7001239315325725,0.784094096330379,0.2714199985949271,0.20583452473192976,0.12873137470427312,-0.08691717152266497,-0.03830902907974587,-0.021502743234412165,-0.07614495946616469,-0.06284413947287187,-0.033070394143893136,-0.018567684536288022,0.085790103292815,0.003136795414363951,0.07678027037017136,0.016127827735498326,0.1293183901893569,0.042331278953763714,0.06788010479089118,-0.173256022320985,0.22116193028631226,0.23931446370145806,0.027748864286863895,-0.002238174857423761,-0.06022939350659255,-0.13956160579727267,-0.013472129586516553,0.04851197257138112
